"table_schema","table_name","table_size","table_size_p","indexes_size","indexes_size_p","total_size","total_size_p","row_count_approx","last_analyze","row_count_exact"
dwh_dds,acc_transaction_1_prt_198_2020_08_14,294912,"288 kB",1179648,"1152 kB",1474560,"1440 kB",0,2020-12-12 05:54:19,0
dwh_bckp,s01_led_acc_det_bkp_1_prt_190_2020_07_21,0,"0 bytes",1474560,"1440 kB",1474560,"1440 kB",0,,0
dwh_dds,acc_transaction_1_prt_335_2021_09_29,294912,"288 kB",1179648,"1152 kB",1474560,"1440 kB",0,2020-12-12 05:55:38,0
dwh_dds,acc_transaction_1_prt_37_2019_04_19,294912,"288 kB",1179648,"1152 kB",1474560,"1440 kB",0,2020-12-12 05:54:16,0
dwh_dds,acc_transaction_1_prt_66_2019_07_15,294912,"288 kB",1179648,"1152 kB",1474560,"1440 kB",0,2020-12-12 05:54:17,0
dwh_dds,acc_transaction_1_prt_196_2020_08_08,294912,"288 kB",1179648,"1152 kB",1474560,"1440 kB",0,2020-12-12 05:54:19,0
dwh_bckp,s01_led_acc_det_bkp_1_prt_84_2019_09_07,0,"0 bytes",1474560,"1440 kB",1474560,"1440 kB",0,,0
dwh_bckp,s01_led_acc_det_bkp_1_prt_28_2019_03_23,0,"0 bytes",1474560,"1440 kB",1474560,"1440 kB",0,,0
dwh_dds,acc_transaction_1_prt_6_2019_01_16,294912,"288 kB",1179648,"1152 kB",1474560,"1440 kB",0,2020-12-12 05:54:16,0
dwh_bckp,s01_led_acc_det_bkp_1_prt_93_2019_10_04,0,"0 bytes",1474560,"1440 kB",1474560,"1440 kB",0,,0
dwh_bckp,s01_led_acc_det_bkp_1_prt_340_2021_10_14,0,"0 bytes",1474560,"1440 kB",1474560,"1440 kB",0,,0
dwh_bckp,s01_led_acc_det_bkp_1_prt_42_2019_05_04,0,"0 bytes",1474560,"1440 kB",1474560,"1440 kB",0,,0
dwh_bckp,s01_led_acc_det_bkp_1_prt_316_2021_08_03,0,"0 bytes",1474560,"1440 kB",1474560,"1440 kB",0,,0
dwh_bckp,s01_led_acc_det_bkp_1_prt_164_2020_05_04,0,"0 bytes",1474560,"1440 kB",1474560,"1440 kB",0,,0
dwh_dds,acc_transaction_1_prt_358_2021_12_07,294912,"288 kB",1179648,"1152 kB",1474560,"1440 kB",0,2020-12-12 05:55:38,0
dwh_bckp,s01_led_acc_det_bkp_1_prt_62_2019_07_03,0,"0 bytes",1474560,"1440 kB",1474560,"1440 kB",0,,0
dwh_dds,acc_transaction_1_prt_328_2021_09_08,294912,"288 kB",1179648,"1152 kB",1474560,"1440 kB",0,2020-12-12 05:55:38,0
dwh_dds,acc_transaction_1_prt_112_2019_11_30,294912,"288 kB",1179648,"1152 kB",1474560,"1440 kB",0,2020-12-12 05:54:18,0
dwh_bckp,s01_led_acc_det_bkp_1_prt_40_2019_04_28,0,"0 bytes",1474560,"1440 kB",1474560,"1440 kB",0,,0
dwh_dds,acc_transaction_1_prt_271_2021_03_21,294912,"288 kB",1179648,"1152 kB",1474560,"1440 kB",0,2020-12-12 05:55:37,0
dwh_bckp,s01_led_acc_det_bkp_1_prt_44_2019_05_10,0,"0 bytes",1474560,"1440 kB",1474560,"1440 kB",0,,0
dwh_dds,acc_transaction_1_prt_241_2020_12_21,294912,"288 kB",1179648,"1152 kB",1474560,"1440 kB",0,2020-12-12 05:55:37,0
dwh_dds,acc_transaction_1_prt_142_2020_02_28,294912,"288 kB",1179648,"1152 kB",1474560,"1440 kB",0,2020-12-12 05:54:18,0
dwh_bckp,s01_led_acc_det_bkp_1_prt_284_2021_04_29,0,"0 bytes",1474560,"1440 kB",1474560,"1440 kB",0,,0
dwh_dds,acc_transaction_1_prt_325_2021_08_30,294912,"288 kB",1179648,"1152 kB",1474560,"1440 kB",0,2020-12-12 05:55:38,0
dwh_dds,acc_transaction_1_prt_331_2021_09_17,294912,"288 kB",1179648,"1152 kB",1474560,"1440 kB",0,2020-12-12 05:55:38,0
dwh_bckp,s01_led_acc_det_bkp_1_prt_148_2020_03_17,0,"0 bytes",1474560,"1440 kB",1474560,"1440 kB",0,,0
dwh_dds,acc_transaction_1_prt_180_2020_06_21,294912,"288 kB",1179648,"1152 kB",1474560,"1440 kB",0,2020-12-12 05:54:19,0
dwh_bckp,s01_led_acc_det_bkp_1_prt_300_2021_06_16,0,"0 bytes",1474560,"1440 kB",1474560,"1440 kB",0,,0
dwh_bckp,s01_led_acc_det_bkp_1_prt_196_2020_08_08,0,"0 bytes",1474560,"1440 kB",1474560,"1440 kB",0,,0
dwh_bckp,s01_led_acc_det_bkp_1_prt_277_2021_04_08,0,"0 bytes",1474560,"1440 kB",1474560,"1440 kB",0,,0
dwh_bckp,s01_led_acc_det_bkp_1_prt_358_2021_12_07,0,"0 bytes",1474560,"1440 kB",1474560,"1440 kB",0,,0
dwh_bckp,s01_led_acc_det_bkp_1_prt_141_2020_02_25,0,"0 bytes",1474560,"1440 kB",1474560,"1440 kB",0,,0
dwh_bckp,s01_led_acc_det_bkp_1_prt_309_2021_07_13,0,"0 bytes",1474560,"1440 kB",1474560,"1440 kB",0,,0
dwh_bckp,s01_led_acc_det_bkp_1_prt_95_2019_10_10,0,"0 bytes",1474560,"1440 kB",1474560,"1440 kB",0,,0
dwh_bckp,s01_led_acc_det_bkp_1_prt_43_2019_05_07,0,"0 bytes",1474560,"1440 kB",1474560,"1440 kB",0,,0
dwh_bckp,s01_led_acc_det_bkp_1_prt_278_2021_04_11,0,"0 bytes",1474560,"1440 kB",1474560,"1440 kB",0,,0
dwh_bckp,s01_led_acc_det_bkp_1_prt_90_2019_09_25,0,"0 bytes",1474560,"1440 kB",1474560,"1440 kB",0,,0
